username,password,FirstName,LastName,HouseNum,Street,State,City,Zip,savingsBalance,checkingBalance,creditCardBalance,creditLimit,carLoan,houseLoan
beepnebulous,computer,Hayden,Conner,1848,"Berkeley Way, Apt 4",CT,Laflin,29053,221285.2,546.0659553,133914.7437,8292,48394,528208
drippingimagined,michelle,Cecelia,Davidson,3359,"Bolsa Ave, Ste 227",HI,Ruhenstroth,16352,625580.3,687.2088503,7000.125203,24245,48394,61953
facilitiesrefuse,jessica,Abel,Dorsey,3389,Village Ln,ID,Watertown Town,75856,4706534.9,115559.2868,1572.362704,14396,48394,624399
meteoroidtyre,pepper,Brynn,Rose,8333,W Badger Rd,IL,Adelphi,54953,65415.1,847.658852,52417.93079,22212,48394,200286
goutplume,1111,Erik,Cooke,4424,Sunnyridge Rd,IA,Rafael Pena,47669,194750.9,3158.197294,16652.37074,6527,48394,216267
zodiacalwine,zxcvbn,Aaron,Perkins,2377,Hill Rd,NV,Winslow,25752,912920.6,8626.050882,19188.75207,9758,48394,274775
howfaint,555555,Micaela,Ball,4201,Pikes Peak,NE,Saybrook,95854,226399.6,694.3905068,3676.181766,19279,48394,549047
necessitykalman,11111111,Yasmin,Hunter,4939,W 29th St,MT,Ossining,27921,732660.6,1414.399027,726.5774395,12827,48394,426801
rhymeartiste,131313,Mayra,Neal,2324,Forman Ave,ND,Holtville,25309,78611.3,1788.782429,5673.008059,18227,48394,86201
abbewhistle,freedom,Nyasia,Weiss,1342,"Dubert Ln, Apt 4",OH,Moreland Hills,69605,690628.3,734.321983,10589.69097,13216,48394,270367
celebratedviolins,777777,Philip,Berry,8935,S Virginia St,RI,Upper Exeter,82819,76463.5,5018.781403,4315.427318,12541,48394,606485
mutatorharmless,pass,Reagan,Key,4865,Sunglow Ct,SC,Jena,15710,778289.4,990.7902499,5216.042293,20268,48394,345222
leafno,55555,Claudia,Leach,7284,Second Ave,SD,Hartville,48620,56783.7,1118.420326,15266.42123,21493,48394,589945
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
